run number,nominal diffusion coeff,nominal lifetime,nominal diffusion length,nominal CNR,estimated CNR,nominal sigma^2_0,estimated sigma^2_0,unweighted fit diffusion slope,unweighted fit diffusion slope stderr,unweighted fit intercept,unweighted fit intercept stderr,weighted fit diffusion slope,weighted fit diffusion slope stderr,weighted fit intercept,weighted fit intercept stderr,nominal diffusion coeff [cm^2/s],unweighted fit diffusion coeff [cm^2/s],unweighted fit diffusion stderr [cm^2/s],weighted fit diffusion coeff [cm^2/s],weighted fit diffusion stderr [cm^2/s]
577,0.010000000000000002,1,0.1,50.0,58.09337230529274,0.18033688011112042,0.1868495844967422,0.013503346137599067,0.005980139939016312,-0.0035896790745565347,0.003547245671498606,0.013047526428877937,0.005567247752387815,-0.0028068940341652053,0.002280284015727777,0.1,0.06751673068799534,0.029900699695081558,0.06523763214438968,0.027836238761939074
578,0.010000000000000002,1,0.1,50.0,49.91372340184908,0.18033688011112042,0.17861840555828584,0.028955811962246086,0.004061395333599471,-0.0004450126072399587,0.002409101988293131,0.02920102963260095,0.003945013674908418,-0.00058969976481136,0.0017263722825752558,0.1,0.14477905981123043,0.020306976667997353,0.14600514816300475,0.01972506837454209
579,0.010000000000000002,1,0.1,50.0,48.44549865899725,0.18033688011112042,0.18300951047204683,0.018169315920252595,0.0038697878296746705,-0.0024755020791828327,0.0022954459708997145,0.01542450701905758,0.003782334706875107,-0.0013112662344284733,0.001578692074540747,0.1,0.09084657960126298,0.01934893914837335,0.07712253509528791,0.018911673534375534
580,0.010000000000000002,1,0.1,50.0,50.54455198818001,0.18033688011112042,0.17832728239295614,0.020581502722222214,0.002690640945214461,0.0026137461942380815,0.0015960102177874603,0.02143513032468704,0.0030435352351989363,0.0020859167708993315,0.0012979644427727945,0.1,0.10290751361111107,0.013453204726072305,0.1071756516234352,0.015217676175994682
581,0.010000000000000002,1,0.1,50.0,53.55188475409507,0.18033688011112042,0.17917948385380078,0.022528632169983114,0.005103104678866935,-0.0001335321024660439,0.00302701377692052,0.024451050347684737,0.005011243832166525,-0.0008750828509245423,0.0021496129769596646,0.1,0.11264316084991556,0.02551552339433467,0.12225525173842369,0.025056219160832626
582,0.010000000000000002,1,0.1,50.0,48.500038179354966,0.18033688011112042,0.1793452513417847,0.02378564662580464,0.003846484073363897,0.0005382056468138116,0.0022816228581388036,0.024180369975479406,0.0033131275131559044,0.00027327493768945126,0.001406228078455951,0.1,0.11892823312902319,0.019232420366819485,0.12090184987739702,0.01656563756577952
583,0.010000000000000002,1,0.1,50.0,51.487216617154,0.18033688011112042,0.1807526996978652,0.018184715604093907,0.004787938085144468,0.0003385260139928672,0.0028400660889426905,0.01653262201620958,0.0044517938304325,0.0010258580306850699,0.0018544993348436345,0.1,0.09092357802046953,0.02393969042572234,0.08266311008104789,0.022258969152162498
584,0.010000000000000002,1,0.1,50.0,53.64706061204069,0.18033688011112042,0.1825067696996243,0.010059645582696935,0.0038350341097562446,0.0022932485426190173,0.002274831071615369,0.010361436631238286,0.004362702552172404,0.0023580394048209417,0.0018795860669904112,0.1,0.05029822791348467,0.019175170548781224,0.05180718315619143,0.02181351276086202
585,0.010000000000000002,1,0.1,50.0,39.11475314117447,0.18033688011112042,0.1808682617800216,0.02698487430469223,0.006881562448301318,-0.0015133396192956615,0.004081943375375185,0.025504492953485593,0.006588420192735188,-0.0012172786253072231,0.002981254658901477,0.1,0.13492437152346115,0.03440781224150659,0.12752246476742796,0.03294210096367594
586,0.010000000000000002,1,0.1,50.0,61.985666619661345,0.18033688011112042,0.17938951368611275,0.015011866609563367,0.005261113286704401,0.0037093567951056007,0.0031207399030524735,0.021004686755483587,0.003942678877489073,0.0014007545192947786,0.0015919096200570355,0.1,0.07505933304781683,0.026305566433522002,0.10502343377741792,0.019713394387445366
